Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;sar-eu;price;gprstext;edge;batstandby1;battalktime1;cam2features;bodyother;models;featuresother;optionalother
https://www.gsmarena.com/allview_soul_x6_xtreme-9685.php;https://fdn2.gsmarena.com/vv/bigpic/allview-x6-xtr.jpg;Allview Soul X6 Xtreme;Released 2019, April;176.6g, 8.9mm thickness;Android 9.0;64GB storage, microSDXC;20;N/A;109,190 hits;"6.39""";1080x2340 pixels;4 GB RAM;Helio P70;3450 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 5, 7, 8, 20, 38;HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat7 300/150 Mbps;2019, April;Available. Released 2019, April;157 x 74.3 x 8.9 mm (6.18 x 2.93 x 0.35 in);176.6 g (6.24 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);AMOLED;6.39 inches, 100.2 cm(~85.9% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density);Corning Gorilla Glass 5;Android 9.0 (Pie);Mediatek MT6771 Helio P70 (12nm);Octa-core (4x2.1 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53);Mali-G72 MP3;microSDXC (uses shared SIM slot);64GB 4GB RAM;eMMC 5.1;16 MP, f/1.8, PDAF5 MP, f/2.4, (depth);LED flash, HDR, panorama;1080p@30fps;Motorized pop-up 8 MP;;Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS;No;FM radio;USB Type-C 2.0;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Li-Po 3450 mAh, non-removable;Urban Violet;0.97 W/kg (head);About 360 EUR;;;;;;;;;
https://www.gsmarena.com/allview_p10_pro-9686.php;https://fdn2.gsmarena.com/vv/bigpic/allview-p10-pro.jpg;Allview P10 Pro;Released 2019, April;182g, 8.8mm thickness;Android 8.1;32GB storage, microSDXC;1;N/A;66,914 hits;"5.99""";720x1440 pixels;3 GB RAM;MT6739;3000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2019, April;Available. Released 2019, April;161.5 x 76.5 x 8.8 mm (6.36 x 3.01 x 0.35 in);182 g (6.42 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.99 inches, 92.6 cm(~74.9% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~269 ppi density);;Android 8.1 (Oreo);Mediatek MT6739 (28 nm);Quad-core 1.3 GHz Cortex-A53;;microSDXC;32GB 3GB RAM;eMMC 5.1;13 MP, AFQVGA;LED flash, HDR;1080p@30fps;8 MP;;Wi-Fi 802.11 b/g/n;4.2, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 3000 mAh battery;Dark Green;1.38 W/kg (head);;;;;;LED flash;;;;
https://www.gsmarena.com/allview_p10_max-9687.php;https://fdn2.gsmarena.com/vv/bigpic/allview-p10-max.jpg;Allview P10 Max;Released 2019, April;172g, 8.3mm thickness;Android 8.1 Oreo;8GB storage, microSDXC;2;N/A;37,623 hits;"5.99""";480x960 pixels;1 GB RAM;MT6739;3200 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2019, April;Available. Released 2019, April;160.7 x 77.7 x 8.3 mm (6.33 x 3.06 x 0.33 in);172 g (6.07 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.99 inches, 92.6 cm(~74.2% screen-to-body ratio);480 x 960 pixels, 18:9 ratio (~179 ppi density);;Android 8.1 Oreo (Go edition);Mediatek MT6739 (28 nm);Quad-core 1.3 GHz Cortex-A53;;microSDXC;8GB 1GB RAM;eMMC 5.1;13 MP, AF;LED flash, HDR;1080p@30fps;13 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 3200 mAh battery;Blue Purple;0.85 W/kg (head);;;;;;;;;;
https://www.gsmarena.com/allview_p10_mini-9688.php;https://fdn2.gsmarena.com/vv/bigpic/allview-p10-mini.jpg;Allview P10 Mini;Released 2019, April;152.6g, 9.9mm thickness;Android 8.1 Oreo;8GB storage, microSDXC;0;N/A;33,244 hits;"5.0""";720x1280 pixels;1 GB RAM;;2400 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2019, April;Available. Released 2019, April;144.2 x 72 x 9.9 mm (5.68 x 2.83 x 0.39 in);152.6 g (5.40 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.0 inches, 68.9 cm(~66.4% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);;Android 8.1 Oreo (Go edition);;Quad-core 1.3 GHz Cortex-A53;;microSDXC;8GB 1GB RAM;;8 MP, AF;LED flash, HDR;1080p@30fps;2 MP;;Wi-Fi 802.11 b/g/n;4.2, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Po 2400 mAh battery;Black;0.72 W/kg (head);;;;;;;;;;
https://www.gsmarena.com/allview_p10_life-9621.php;https://fdn2.gsmarena.com/vv/bigpic/allview-p10-life.jpg;Allview P10 Life;Released 2019, January;177.6g, 9.4mm thickness;Android 8.1;16GB storage, microSDXC;3;N/A;34,608 hits;"5.34""";480x960 pixels;2 GB RAM;MT6739;2500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38;HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps;2019, January;Available. Released 2019, January;149.4 x 71.9 x 9.4 mm (5.88 x 2.83 x 0.37 in);177.6 g (6.28 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.34 inches, 73.6 cm(~68.5% screen-to-body ratio);480 x 960 pixels, 18:9 ratio (~201 ppi density);;Android 8.1 (Oreo);Mediatek MT6739 (28 nm);Quad-core 1.3 GHz Cortex-A53;;microSDXC;16GB 2GB RAM;eMMC 5.1;8 MP, AF;LED flash, HDR;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n;4.2, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Po 2500 mAh battery;Blue;0.80 W/kg (head);;;;;;;;;;
https://www.gsmarena.com/allview_a10_lite_2019-9504.php;https://fdn2.gsmarena.com/vv/bigpic/allview-10-lite-2019.jpg;Allview A10 Lite 2019;Released 2018, October;152g, 9.9mm thickness;Android 8.1 Oreo;8GB storage, microSDXC;2;N/A;52,529 hits;"5.34""";480x960 pixels;1 GB RAM;MT6580M;2150 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;;HSPA 21.1/5.76 Mbps;2018, October;Available. Released 2018, October;145.5 x 71.8 x 9.9 mm (5.73 x 2.83 x 0.39 in);152 g (5.36 oz);Dual SIM (Micro-SIM, dual stand-by);IPS LCD;5.34 inches, 73.6 cm(~70.4% screen-to-body ratio);480 x 960 pixels, 18:9 ratio (~201 ppi density);;Android 8.1 Oreo (Go edition);Mediatek MT6580M (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDXC;8GB 1GB RAM;;8 MP, AF;LED flash, HDR;720p;2 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Ion 2150 mAh battery;Black, Gold;0.97 W/kg (head);;;;;;LED flash;;;;
https://www.gsmarena.com/allview_allwatch_hybrid_t-9492.php;https://fdn2.gsmarena.com/vv/bigpic/allview-hybrid-t.jpg;Allview Allwatch Hybrid T;Released 2018, December;88g, 14.6mm thickness;Proprietary OS;No card slot;1;N/A;33,869 hits;"1.22""";240x240 pixels; ;;200 mAh Li-Po;N/A;;;;2018, December;Available. Released 2018, December;50.6 x 44 x 14.6 mm (1.99 x 1.73 x 0.57 in);88 g (3.10 oz);No;LCD;1.22 inches;240 x 240 pixels (~278 ppi density);;Proprietary OS;;;;No;;;No;;;;;No;4.2, A2DP, LE;No;No;No;No;Accelerometer, heart rate;Li-Po 200 mAh, non-removable;Black;;;No;No;;;;;;;
https://www.gsmarena.com/allview_allwatch_hybrid_s-9491.php;https://fdn2.gsmarena.com/vv/bigpic/allview-hybrid-s.jpg;Allview Allwatch Hybrid S;Released 2018, December;88g, 14.6mm thickness;Proprietary OS;No card slot;0;N/A;30,493 hits;"1.22""";240x240 pixels; ;;200 mAh Li-Po;N/A;;;;2018, December;Available. Released 2018, December;50.6 x 44 x 14.6 mm (1.99 x 1.73 x 0.57 in);88 g (3.10 oz);No;LCD;1.22 inches;240 x 240 pixels (~278 ppi density);;Proprietary OS;;;;No;;;No;;;;;No;4.2, A2DP, LE;No;No;No;No;Accelerometer, heart rate;Li-Po 200 mAh, non-removable;Dark Gray;;;No;No;;;;;;;
https://www.gsmarena.com/allview_a10_plus-9471.php;https://fdn2.gsmarena.com/vv/bigpic/allview-a10-plus.jpg;Allview A10 Plus;Released 2018, November;150g, 9.6mm thickness;Android 8.1 Oreo;8GB storage, microSDXC;1;0.1%;66,793 hits;"5.34""";480x960 pixels;1 GB RAM;MT6580;2200 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;;HSPA 21.1/5.76 Mbps;2018, November;Available. Released 2018, November;151 x 71.8 x 9.6 mm (5.94 x 2.83 x 0.38 in);150 g (5.29 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.34 inches, 73.6 cm(~67.9% screen-to-body ratio);480 x 960 pixels, 18:9 ratio (~201 ppi density);;Android 8.1 Oreo (Go edition);Mediatek MT6580 (28 nm);Quad-core 1.3 GHz Cortex-A7;Mali-400MP2;microSDXC;8GB 1GB RAM;;8 MP, AF;LED flash, HDR;720p;5 MP;;Wi-Fi 802.11 b/g/n;4.0, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Accelerometer;Li-Ion 2200 mAh battery;Gray;0.99 W/kg (head);;;;;;LED flash;;;;
https://www.gsmarena.com/allview_soul_x5_style-9400.php;https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x5-style.jpg;Allview Soul X5 Style;Released 2018, November;168g, 8.1mm thickness;Android 8.1;32GB storage, microSDXC;4;N/A;55,979 hits;"6.2""";720x1500 pixels;3 GB RAM;Helio P22;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 5, 7, 8, 20, 38, 39, 40, 41;HSPA 21.1/5.76 Mbps, LTE-A (2CA) Cat7 300/150 Mbps;2018, November;Available. Released 2018, November;157.2 x 76.3 x 8.1 mm (6.19 x 3.00 x 0.32 in);168 g (5.93 oz);Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by);IPS LCD;6.2 inches, 96.7 cm(~80.7% screen-to-body ratio);720 x 1500 pixels (~268 ppi density);Corning Gorilla Glass 3;Android 8.1 (Oreo);Mediatek MT6762 Helio P22 (12 nm);Octa-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (uses shared SIM slot);32GB 3GB RAM;eMMC 5.1;13 MP, AF2 MP, (depth);LED flash, HDR;1080p@30fps;8 MP, f/2.2;;Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Po 4000 mAh, non-removable;Blue, Gold;1.21 W/kg (head);About 220 EUR;;;;;LED flash;;;;
https://www.gsmarena.com/allview_allwatch_v-9392.php;https://fdn2.gsmarena.com/vv/bigpic/allview-allwatch-v.jpg;Allview Allwatch V;Released 2018, June;39g, 9.4mm thickness;Proprietary OS;No card slot;0;N/A;33,034 hits;"1.3""";240x240 pixels; ;;130 mAh Li-Po;N/A;;;;2018, June;Available. Released 2018, June;42 x 40 x 9.4 mm (1.65 x 1.57 x 0.37 in);39 g (1.38 oz);No;LCD;1.3 inches;240 x 240 pixels (~261 ppi density);;Proprietary OS;;;;No;;;No;;;;;No;4.0, A2DP, LE;No;No;No;No;Accelerometer, heart rate;Li-Po 130 mAh, non-removable;Black;;;No;No;;;;IP54, dust and water resistant;;;
https://www.gsmarena.com/allview_soul_x5_mini-9391.php;https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x5-mini.jpg;Allview Soul X5 Mini;Released 2018, August;156g, 8.8mm thickness;Android 8.1;16GB storage, microSDXC;1;N/A;39,482 hits;"5.67""";720x1498 pixels;2 GB RAM;MT6739;3050 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 900 / 2100;1, 3, 7, 20, 38;HSPA 21.1/5.76 Mbps, LTE;2018, August;Available. Released 2018, August;149.4 x 70.2 x 8.8 mm (5.88 x 2.76 x 0.35 in);156 g (5.50 oz);Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by);IPS LCD;5.67 inches, 81.0 cm(~77.2% screen-to-body ratio);720 x 1498 pixels (~293 ppi density);Asahi Glass;Android 8.1 (Oreo);Mediatek MT6739 (28 nm);Quad-core 1.3 GHz Cortex-A53;PowerVR GE8100;microSDXC (uses shared SIM slot);16GB 2GB RAM;eMMC 5.1;13 MP, AF0.3 MP, (depth);LED flash, HDR;1080p@30fps;5 MP;;Wi-Fi 802.11 b/g/n;4.2, A2DP, LE;GPS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 3050 mAh, non-removable;Black, Gold;0.66 W/kg (head);;;;;;;;;;
