Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;gprstext;edge;year;status;dimensions;weight;build;sim;bodyother;displaytype;displaysize;displayresolution;os;memoryslot;cam1modules;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;cpu;internalmemory;cam1features;cam1video;cam2modules;cam2video;models;displayother;chipset;gpu;cam2features;displayprotection;memoryother;optionalother;featuresother;tbench;batlife;net5g;sar-eu;batstandby1;battalktime1;batmusicplayback1;sar-us
https://www.gsmarena.com/huawei_p30_pro_new_edition-10219.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-p30-pro-new-edition.jpg;Huawei P30 Pro New Edition;Released 2020, June 01;192g, 8.4mm thickness;Android 10, EMUI 10.1, Google Play Services;128GB/256GB storage, NM;135;0.5%;1,018,766 hits;"6.47""";1080x2340 pixels;6/8 GB RAM;Kirin 980;4200 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;LTE (unspecified);HSPA 42.2/5.76 Mbps, LTE-A Cat21 1400/200 Mbps;;;2020, May 12;Available. Released 2020, June 01;158 x 73.4 x 8.4 mm (6.22 x 2.89 x 0.33 in);192 g (6.77 oz);Glass front (Aluminosilicate glass), glass back (Aluminosilicate glass), aluminum frame;Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 2m for 30 min);OLED, HDR10;6.47 inches, 102.8 cm(~88.6% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density);Android 10, EMUI 10.1, Google Play Services;NM (Nano Memory), up to 256GB (uses shared SIM slot);"40 MP, f/1.6, 27mm (wide), 1/1.7"", PDAF, OIS8 MP, f/3.4, 125mm (periscope telephoto), 1/4.0"", PDAF, OIS, 5x optical zoom, 10x hybrid zoom20 MP, f/2.2, 16mm (ultrawide), 1/2.7"", PDAFTOF 3D, (depth)";Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, aptX HD, LE;GPS (L1+L5), GLONASS (L1), BDS (B1), GALILEO (E1+E5a), QZSS (L1+L5);Yes;No;USB Type-C 3.1;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum;Li-Po 4200 mAh, non-removable;Aurora, Black, Silver Frost;About 820 EUR;Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55);128GB 6GB RAM, 256GB 8GB RAM;Leica optics, dual-LED dual-tone flash, panorama, HDR;4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps;"32 MP, f/2.0, 26mm (wide), 1/2.8"", 0.8µm";1080p@30fps;;;Kirin 980 (7 nm);Mali-G76 MP10;HDR;;UFS 3.0;32-bit/384kHz audio;;;;;;;;;
https://www.gsmarena.com/huawei_matepad_t8-10231.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-mediapad-t8.jpg;Huawei MatePad T8;Released 2020, May 19;310g, 8.6mm thickness;Android 10, EMUI 10, no Google Play Services;16GB/32GB storage, microSDXC;30;1.1%;687,571 hits;"8.0""";800x1280 pixels;2/3 GB RAM;MT8768;5100 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Kobe2-L03;1, 3, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41 - Kobe2-L09;HSPA, LTE;;;2020, May 07;Available. Released 2020, May 19;199.7 x 121.1 x 8.6 mm (7.86 x 4.77 x 0.34 in);310 g (10.93 oz);;Nano-SIM;;IPS LCD;8.0 inches, 185.6 cm(~76.7% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~189 ppi density);Android 10, EMUI 10, no Google Play Services;microSDXC;5 MP, f/2.2;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, BDS;No;No;microUSB 2.0, OTG;Accelerometer;Li-Po 5100 mAh, non-removable;Deepsea Blue;About 100 EUR;Octa-core (4x2.0 GHz Cortex-A53 & 4x1.50 GHz Cortex A53);16GB 2GB RAM, 32GB 2GB RAM, 32GB 3GB RAM;;1080p@30fps;2 MP, f/2.4;;Kobe2-L09, Kobe2-L03, KOB2-L09, KOB2-W09;;Mediatek MT8768;PowerVR GE8320;;;eMMC 5.1;;;;;;;;;;
https://www.gsmarena.com/huawei_y8s-10227.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-y8s.png;Huawei Y8s;Released 2020, May 21;180g, 8.1mm thickness;Android 9.0, EMUI 9.1, Google Play Services;64GB/128GB storage, microSDXC;26;0.5%;714,924 hits;"6.5""";1080x2340 pixels;4 GB RAM;Kirin 710;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 2100 - JKM-LX2;1, 3, 5, 7, 8, 28, 38, 40, 41 - JKM-LX2;HSPA, LTE-A;;;2020, May 6;Available. Released 2020, May 21;162.4 x 77.1 x 8.1 mm (6.39 x 3.04 x 0.32 in);180 g (6.35 oz);;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.5 inches, 103.7 cm(~82.8% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density);Android 9.0 (Pie), EMUI 9.1, Google Play Services;microSDXC;"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF2 MP, f/2.4, (depth)";Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS, BDS;No;FM radio;microUSB 2.0;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Po 4000 mAh, non-removable;Emerald Green, Midnight Black;About 140 EUR;Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53);64GB 4GB RAM, 128GB 4GB RAM;LED flash, HDR, panorama;1080p@30fps;8 MP, f/2.0, (wide)2 MP, f/2.4, (depth);1080p@30fps;JKM-LX1, JKM-LX2, JKM-LX3;;Kirin 710 (12 nm);Mali-G51 MP4;HDR;;;;;;;;;;;;
https://www.gsmarena.com/huawei_y6p-10222.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-y6p.jpg;Huawei Y6p;Released 2020, May 06;185g, 9mm thickness;Android 10, EMUI 10.1;32GB/64GB storage, microSDXC;52;1.5%;1,769,261 hits;"6.3""";720x1600 pixels;3/4 GB RAM;Helio P22;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41;HSPA 42.2/5.76 Mbps, LTE-A Cat4 150/50 Mbps;;;2020, May 05;Available. Released 2020, May 06;159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in);185 g (6.53 oz);Glass front, plastic back, plastic frame;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.3 inches, 95.8 cm(~81.3% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~278 ppi density);Android 10, EMUI 10.1, no Google Play Services;microSDXC (dedicated slot);13 MP, f/1.8, (wide), PDAF5 MP, f/2.2, 120˚ (ultrawide)2 MP, f/2.4, (depth);Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, BDS;"Yes (market/region dependent)MED-LX9N (Yes); MED-LX9 (No)";"FM radio; built-in antenna";microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Phantom Purple, Emerald Green, Midnight Black;About 160 EUR;Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM;LED flash, HDR, panorama;1080p@30fps;8 MP, f/2.0, (wide);1080p@30fps;MED-LX9, MED-LX9N;;Mediatek MT6762R Helio P22 (12 nm);PowerVR GE8320;HDR;;eMMC 5.1;;;;;;;;;;
https://www.gsmarena.com/huawei_y5p-10223.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-y5p.jpg;Huawei Y5p;Released 2020, May 06;144g, 8.4mm thickness;Android 10, EMUI 10.1;32GB storage, microSDXC;23;0.7%;886,646 hits;"5.45""";720x1440 pixels;2 GB RAM;Helio P22;3020 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41;HSPA, LTE;;;2020, May 05;Available. Released 2020, May 06;146.5 x 70.9 x 8.4 mm (5.77 x 2.79 x 0.33 in);144 g (5.08 oz);;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;5.45 inches, 76.7 cm(~73.8% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~295 ppi density);Android 10, EMUI 10.1, no Google Play Services;microSDXC (dedicated slot);8 MP, f/2.0, (wide), AF;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, BDS;No;FM radio;microUSB 2.0;Accelerometer, proximity;Li-Po 3020 mAh, non-removable;Mint Green, Midnight Black, Phantom Blue;About 110 EUR;Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);32GB 2GB RAM;LED flash, HDR, panorama;1080p@30fps;5 MP, f/2.2;1080p@30fps;DRA-LX9;;Mediatek MT6762R Helio P22 (12 nm);PowerVR GE8320;;;eMMC 5.1;;;;;;;;;;
https://www.gsmarena.com/huawei_p_smart_2020-10212.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-p-smart-2020-.jpg;Huawei P smart 2020;Released 2020, May 8;160g, 8mm thickness;Android 9.0, EMUI 9.1, Google Play Services;128GB storage, microSDXC;18;0.2%;395,519 hits;"6.21""";1080x2340 pixels;4 GB RAM;Kirin 710;3400 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1900 / 2100;1, 3, 7, 8, 20;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;;;2020, April 29;Available. Released 2020, May 8;155.2 x 73.4 x 8 mm (6.11 x 2.89 x 0.31 in);160 g (5.64 oz);Glass front, plastic back, plastic frame;Hybrid Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.21 inches, 94.7 cm(~83.1% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~415 ppi density);Android 9.0 (Pie), EMUI 9.1, Google Play Services;microSDXC (uses shared SIM slot);13 MP, f/1.8, PDAF2 MP, (depth);Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct;4.2, A2DP, LE;GPS, GLONASS, BDS;Yes;FM radio;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Ion 3400 mAh, non-removable;Midnight Black, Aurora Blue, Green;About 200 EUR;Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53);128GB 4GB RAM;LED flash, HDR, panorama;1080p@30/60fps;8 MP, f/2.0;1080p@30fps;;;Kirin 710 (12 nm);Mali-G51 MP4;HDR;;UFS 2.1;;;;;;0.83 W/kg (head);;;;
https://www.gsmarena.com/huawei_nova_7_pro_5g-10203.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova7-pro-5g.jpg;Huawei nova 7 Pro 5G;Released 2020, April 28;178g, 8mm thickness;Android 10, EMUI 10, no Google Play Services;128GB/256GB storage, no card slot;134;0.3%;1,082,014 hits;"6.57""";1080x2340 pixels;8 GB RAM;Kirin 985 5G;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 18, 19, 26, 34, 38, 39, 40, 41;HSPA, LTE-A, 5G;;;2020, April 23;Available. Released 2020, April 28;160.4 x 73.7 x 8 mm (6.31 x 2.90 x 0.31 in);178 g (6.28 oz);;Dual SIM (Nano-SIM, dual stand-by);;OLED;6.57 inches, 106.0 cm(~89.6% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density);Android 10, EMUI 10, no Google Play Services;No;64 MP, f/1.8, 26mm (wide), PDAF8 MP, f/3.4, 125mm (periscope telephoto), PDAF, OIS, 5x optical zoom8 MP, f/2.4, 17mm (ultrawide)2 MP, f/2.4, (macro);Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS (L1+L5), GLONASS (L1), BDS (B1), GALILEO (E1+E5a), QZSS (L1+L5);Yes;No;USB Type-C 2.0, OTG;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Li-Po 4000 mAh, non-removable;Black, Red, Purple, Green, Blue;About 480 EUR;Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55);128GB 8GB RAM, 256GB 8GB RAM;Dual-LED dual-tone flash, panorama, HDR;4K, 1080p, 720p@960fps, gyro-EIS;"32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm, PDAF8 MP, f/2.2, 17mm (ultrawide)";4K;JER-AN10, JER-AN20;;Kirin 985 5G (7 nm);Mali-G77 (8-core);HDR;;UFS 3.0;;;;;1, 3, 41, 77, 78, 79 SA/NSA;;;;;
https://www.gsmarena.com/huawei_nova_7_5g-10204.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova7-5g.jpg;Huawei nova 7 5G;Released 2020, April 28;180g, 8mm thickness;Android 10, EMUI 10.1;128GB/256GB storage, no card slot;122;0.9%;1,626,723 hits;"6.53""";1080x2400 pixels;8 GB RAM;Kirin 985 5G;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only);HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 18, 19, 20, 26, 28, 38, 40, 41, 66 - International;HSPA, LTE-A, 5G;;;2020, April 23;Available. Released 2020, April 28;160.6 x 74.3 x 8 mm (6.32 x 2.93 x 0.31 in);180 g (6.35 oz);;Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by);;OLED;6.53 inches, 102.9 cm(~86.3% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~403 ppi density);Android 10, EMUI 10.1, no Google Play Services;No;64 MP, f/1.8, 26mm (wide), PDAF8 MP, f/2.4, 80mm (telephoto), PDAF, 3x optical zoom8 MP, f/2.4, 17mm (ultrawide)2 MP, f/2.4, (macro);Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS, QZSS;Yes;No;USB Type-C 2.0, OTG;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Li-Po 4000 mAh, non-removable;Black, Space Silver, Midsummer Purple, Red, Green;About 390 EUR;Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55);128GB 8GB RAM, 256GB 8GB RAM;LED flash, Panorama, HDR;4K, 1080p, 720p@960fps, gyro-EIS;"32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm";4K;JEF-AN00, JEF-NX9, JEF-AN20;;Kirin 985 5G (7 nm);Mali-G77 (8-core);HDR;;UFS 3.0;;;;;1, 3, 28, 38, 41, 77, 78, 79 SA/NSA - International;;;;;
https://www.gsmarena.com/huawei_nova_7_se-10205.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova7-se-new.jpg;Huawei nova 7 SE;Released 2020, April 28;189g, 8.6mm thickness;Android 10, EMUI 10.1;128GB/256GB storage, NM;64;0.7%;1,245,258 hits;"6.5""";1080x2400 pixels;6/8 GB RAM;Kirin 820 5G;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 66 - International;HSPA, LTE-A, 5G;;;2020, April 23. Released 2020, April 28;Discontinued;162.3 x 75 x 8.6 mm (6.39 x 2.95 x 0.34 in);189 g (6.67 oz);;Dual SIM (Nano-SIM, dual stand-by);;IPS LCD, HDR10;6.5 inches, 102.0 cm(~83.8% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~405 ppi density);Android 10, EMUI 10.1, no Google Play Services;NM (Nano Memory), up to 256GB (uses shared SIM slot);64 MP, f/1.8, 26mm (wide), PDAF8 MP, f/2.4, 17mm (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth);Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, GALILEO, BDS, QZSS;No;No;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 4000 mAh, non-removable;Black, Space Silver, Midsummer Purple, Crush Green;About 320 EUR;Octa-core (1x2.36 GHz Cortex-A76 & 3x2.22 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55);128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;LED flash, Panorama, HDR;4K, 1080p, 720p@960fps;16 MP, f/2.0, (wide);1080p;CDY-AN00, CDY-NX9B, CDY-TN00, CDY-AN20;;Kirin 820 5G (7nm);Mali-G57 (6-core);HDR;;;;;;;1, 3, 28, 38, 41, 77, 78, 79 SA/NSA - International;;;;;
https://www.gsmarena.com/huawei_matepad_10_4-10206.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-10.4.jpg;Huawei MatePad 10.4;Released 2020, April 28;450g, 7.4mm thickness;Android 10, EMUI 10, no Google Play Services;32GB/64GB/128GB storage, microSDXC;60;0.8%;747,883 hits;"10.4""";1200x2000 pixels;3-6 GB RAM;Kirin 810;7250 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 34, 38, 39, 40, 41;HSPA, LTE-A;;;2020, April 23;Available. Released 2020, April 28;245.2 x 155 x 7.4 mm (9.65 x 6.10 x 0.29 in);450 g (0.99 lb);Glass front, aluminum back, aluminum frame;Nano-SIM;Stylus support;IPS LCD;10.4 inches, 307.9 cm(~81.0% screen-to-body ratio);1200 x 2000 pixels, 5:3 ratio (~224 ppi density);Android 10, EMUI 10, no Google Play Services;microSDXC;8 MP, AF;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, BDS (LTE model only);No;No;USB Type-C 2.0;Accelerometer, gyro, proximity, compass;Li-Po 7250 mAh, non-removable;White, Gray;About 250 EUR;Octa-core (2x2.27 GHz Cortex-A76 & 6x1.88 GHz Cortex-A55);32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;LED flash, HDR, panorama;1080p@30fps;8 MP;1080p@30fps;BAH3-W09, BAH3-AL00, BAH3-L09, BAH3-W59;;Kirin 810 (7 nm);Mali-G52 MP6;HDR;;;Tuned by Harman Kardon;;;;;;;;;
https://www.gsmarena.com/huawei_watch_gt_2e-10166.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt2e-new.jpg;Huawei Watch GT 2e;Released 2020, April 20;43g, 10.8mm thickness;Proprietary OS;4GB 16MB RAM storage, no card slot;36;0.2%;445,276 hits;"1.39""";454x454 pixels;16 MB RAM;;455 mAh Li-Ion;N/A;N/A;N/A;No;No;No;2020, March 26;Available. Released 2020, April 20;53 x 46.8 x 10.8 mm (2.09 x 1.84 x 0.43 in);43 g (1.52 oz);Glass front, plastic/metal back, stainless steel frame;No;50m water resistantCompatible with standard 22mm straps;AMOLED;1.39 inches;454 x 454 pixels (~326 ppi density);Proprietary OS;No;No;No;5.1, LE, EDR;GPS, GLONASS;No;No;No;Accelerometer, gyro, heart rate, barometer, compass, SpO2;Li-Ion 455 mAh, non-removable;Graphite Black, Lava Red, Mint Green, Icy White;About 100 EUR;;4GB 16MB RAM;;;;;HCT-B19;;;;;;eMMC;;;;;;;;;;
https://www.gsmarena.com/huawei_enjoy_10e-11010.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-10-e.jpg;Huawei Enjoy 10e;Released 2020, March;185g, 9mm thickness;Android 10, EMUI 10, no Google Play Services;64GB/128GB storage, microSD;2;N/A;28,984 hits;"6.3""";720x1600 pixels;4 GB RAM;Helio P35;5000 mAh Li-Po;GSM 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41;HSPA, LTE;;;2020, March 01;Available. Released 2020, March;159.1 x 74.1 x 9 mm (6.26 x 2.92 x 0.35 in);185 g (6.53 oz);;Hybrid Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.3 inches, 95.8 cm(~81.3% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~278 ppi density);Android 10, EMUI 10, no Google Play Services;microSD;13 MP, f/1.8, 27mm (wide), PDAF2 MP, f/2.4, (depth);Wi-Fi 802.11 b/g/n;5.0, A2DP, LE;GPS, GLONASS, BDS;No;Unspecified;microUSB 2.0, OTG;Accelerometer, proximity;Li-Po 5000 mAh, non-removable;Pearl White, Emerald Green, Midnight Black;About 120 EUR;Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);64GB 4GB RAM, 128GB 4GB RAM;LED flash, HDR, panorama;1080p@30fps;8 MP, f/2.0;1080p@30fps;MED-AL00, MED-AL20, MED-TL00;;Mediatek MT6765 Helio P35 (12nm);PowerVR GE8320;;;;;;;;;;;;;
https://www.gsmarena.com/huawei_p40_pro+-10118.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-p40-pro-plus.jpg;Huawei P40 Pro+;Released 2020, June 06;226g, 9mm thickness;Android 10, EMUI 10.1;256GB/512GB storage, NM;421;0.7%;2,467,526 hits;"6.58""";1200x2640 pixels;8 GB RAM;Kirin 990 5G;4200 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41;HSPA, LTE-A, 5G;;;2020, March 26;Available. Released 2020, June 06;158.2 x 72.6 x 9 mm (6.23 x 2.86 x 0.35 in);226 g (7.97 oz);Glass front, ceramic back, ceramic frame;Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 1.5m for 30 min);OLED, 90Hz, HDR10;6.58 inches, 105.2 cm(~91.6% screen-to-body ratio);1200 x 2640 pixels (~441 ppi density);Android 10, EMUI 10.1, no Google Play Services;NM (Nano Memory), up to 256GB (uses shared SIM slot);"50 MP, f/1.9, 23mm (wide), 1/1.28"", 1.22µm, multi-directional PDAF, OIS8 MP, f/4.4, 240mm (periscope telephoto), PDAF, OIS, 10x optical zoom8 MP, f/2.4, 80mm (telephoto), PDAF, OIS, 3x optical zoom40 MP, f/1.8, 18mm (ultrawide), 1/1.54"", PDAFTOF 3D, (depth)";Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC;Yes;No;USB Type-C 3.1, OTG;Infrared Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum;Li-Po 4200 mAh, non-removable;White Ceramic, Black Ceramic;About 1000 EUR;Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55);256GB 8GB RAM, 512GB 8GB RAM;Leica optics, LED flash, panorama, HDR;"4K@30/60fps, 1080p@30/60fps, 720@7680fps, 1080p@960fps, HDR; gyro-EIS";"32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm, AFIR TOF 3D, (depth/biometrics sensor)";4K@30/60fps, 1080p@30/60fps;ELS-N39, ELS-AN10;;Kirin 990 5G (7 nm+);Mali-G76 MP16;HDR;;UFS 3.0;32-bit/384kHz audio;;AnTuTu: 529687 (v8)GeekBench: 3203 (v5.1)GFXBench: 31fps (ES 3.1 onscreen);;1, 3, 28, 38, 41, 77, 78, 79 SA/NSA;;;;;
https://www.gsmarena.com/huawei_p40_pro-10152.php;https://fdn2.gsmarena.com/vv/bigpic/huawei-p40-pro.jpg;Huawei P40 Pro;Released 2020, April 07;209g, 9mm thickness;Android 10, EMUI 10.1;128GB/256GB/512GB storage, NM;433;2.9%;3,906,543 hits;"6.58""";1200x2640 pixels;8 GB RAM;Kirin 990 5G;4200 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41 - ELS-NX9;HSPA, LTE-A, 5G;;;2020, March 26;Available. Released 2020, April 07;158.2 x 72.6 x 9 mm (6.23 x 2.86 x 0.35 in);209 g (7.37 oz);Glass front, glass back, aluminum frame;Nano-SIM and eSIM or Hybrid Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 1.5m for 30 min);OLED, 90Hz, HDR10;6.58 inches, 105.2 cm(~91.6% screen-to-body ratio);1200 x 2640 pixels (~441 ppi density);Android 10, EMUI 10.1, no Google Play Services;NM (Nano Memory), up to 256GB (uses shared SIM slot);"50 MP, f/1.9, 23mm (wide), 1/1.28"", 1.22µm, multi-directional PDAF, OIS12 MP, f/3.4, 125mm (periscope telephoto), PDAF, OIS, 5x optical zoom40 MP, f/1.8, 18mm (ultrawide), 1/1.54"", PDAFTOF 3D, (depth)";Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC;Yes;No;USB Type-C 3.1, OTG;Infrared Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, compass, color spectrum;Li-Po 4200 mAh, non-removable;Silver Frost, Blush Gold, Deep Sea Blue, Ice White, Black;;Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55);128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM;Leica optics, LED flash, panorama, HDR;"4K@30/60fps, 1080p@30/60fps, 720@7680fps, 1080p@960fps, HDR; gyro-EIS";"32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm, AFIR TOF 3D, (depth/biometrics sensor)";4K@30/60fps, 1080p@30/60fps;ELS-NX9, ELS-N04, ELS-AN00, ELS-TN00;;Kirin 990 5G (7 nm+);Mali-G76 MP16;HDR;;UFS 3.0;32-bit/384kHz audio;;AnTuTu: 496356 (v8)GeekBench: 12848 (v4.4), 3197 (v5.1)GFXBench: 31fps (ES 3.1 onscreen);;1, 3, 28, 38, 41, 77, 78, 79 SA/NSA - ELS-NX9;;;;;
